topID,subtopID,conID,passID,passOrder,passTitle,passText
1,101,1,101101,01,pTitle0101101,"A bone graft is the transplant of bone tissue. Surgeons use bone grafts to repair and rebuild diseased bones, tendons and cartilage in the hips, knees and spine. Grafts can also be used to repair bone loss caused by fractures from accidents, or to enhance the density and quality of existing bone, or to reduce suffering from a variety of illnesses, such as tumors or cancers. Once the body receives the bone graft, it provides a framework for growth of fresh and living bone. If the transplanted bone comes from another person, it is called an allograft. Most allograft bone comes from donors who have died. Tissue banks carefully screen the medical histories of the donors and freeze the donated bones. After harvesting, the tissue bank will process and prepare the donated bone to ensure that it is safe to use to reduce the risks of contamination, infection or disease transmission. If the transplanted bone originates from another part of the patient’s own body, it is called an autograft. In some cases, a man-made bone substitute is used as an alternative for the bone graft. During the surgery, the physician often makes a cut into the bone near the defect where the graft is to be placed. The potential drawbacks of the surgical procedure include chronic pain from the surgical site (e.g., if nerves are inadvertently cut) or rejection of transplants."
1,101,1,101102,02,pTitle0101102,"Only living cells can make new bone, so the success of any bone grafting procedure is dependent on having enough bone-forming cells in the location of the graft.  Such bone-forming cells are called “osteogenic” bone cells. Osteogenic cells are located in the periosteum, which is the tissue surrounding the bone and the bone marrow. A wound such as a fracture triggers cell production by the osteogenic cells, creating new osteoblasts and osteoclasts for damage remedy as quickly as possible. Osteoblasts are responsible for the creation of new bone. Osteoclasts are responsible for breaking down bone cells, which is required for bone reconstruction. However, locations of scarring, previous surgery or infection, bone gaps, and locations previously treated with radiation therapy are all likely to be deficient in osteogenic cells. In this situation, osteogenic stimulation is needed. Osteogenic cells can be added to a graft site from two sources, bone or bone marrow. Typically, healthy bone is removed from a location where it is unlikely to cause a disability and then transferred into the graft site. This is often from sites of the anterior or posterior pelvic iliac crests.  It has recently become more accepted to transfer bone-forming cells from bone marrow, which can be obtained with a needle, without an open, incisional operation."
1,101,1,101103,03,pTitle0101103,"Bone grafts refer to a wide variety of surgical methods to augment or stimulate the formation of new bone where it is needed. One function of bone graft is to support the healing of fresh fractures or fractures that have failed to heal after an initial attempt at treatment. It can also be used to regenerate bone, which is lost or missing as a result of trauma, infection, or disease. Reconstruction or rebuilding of missing bone can vary from filling small cavities to replacing large segments of bone that are 12 or more inches in length. Another function of bone grafts is to regenerate the bone tissue around the devices implanted in a surgery, such as in artificial joint replacements (e.g., hip replacement) or devices used to support bone alignment. Finally, another function is to stimulate healing between two bones across a diseased joint. This is called “arthrodesis” or “fusion.” One of the most common examples is to promote spinal fusion. Spinal fusions are performed to relieve pain and provide stability to spines in people who have been suffering from a vertebral fracture or when motion between the vertebrae causes pain. Once the bone “bridge” between the vertebrae is in place, the spine is stabilized. Then, the pressure on nerve roots is relieved. Thus, it can further ease pain."
1,101,1,101104,04,pTitle0101104,"There are a number of different reasons that a physician may recommend bone grafting. Situations in which the recovery process from bone surgery is compromised often call for grafting. Diseases such as diabetes or autoimmune deficiencies can slow bone cells growth so that bone grafts can offset the effects of disease. Another case for which the physician may suggest grafting is when a large amount of bone or disc material is taken during surgery, such as spinal procedures that span many levels of vertebrae. Many medical studies show that patients who are constantly exposed to nicotine tend to have limited progress in recovery. So smokers facing spinal surgery routinely receive bone grafts. One study tested how well the bone mass fuses together in spinal fusion patients. Results showed that the nonunion rate is lowest (14%) for nonsmokers, slightly higher (17%) for patients who quit smoking for at least 6 months after surgery, and is highest (26%) for patients who continued to smoke. Nicotine acts like a poison in the bone, inhibiting fusion of the bone. One of the most negative effects of nicotine is decreased blood flow of the bone graft. In essence, the bone graft does not get enough nutrients due to a lack of blood supply; therefore, the bone does not recover smoothly."
1,101,1,101105,05,pTitle0101105,"After a bone graft operation, recovery time depends on the injury or defect being treated and the size of the bone graft. The process may take 2 weeks to 3 months. The bone graft itself will take up to 3 months or longer to completely heal. Children heal faster than adults. Pain is normal for a few days following surgery, and medication is given regularly to alleviate this problem. Antibiotics may be given to help lower the risk of infection. Patients are asked to take the prescribed antibiotics as directed; however, they can discontinue the use of antibiotic in the event of a rash or other unfavorable reaction. Patients have to keep the bone graft sites clean and dry. Doctors or nurses often give detailed instructions about showering. If wearing a cast, it is beneficial to apply heat to the injured site to improve blood circulation and speed up healing. After the cast is removed, patients have to massage the injured site with ice and avoid extreme exercise for up to 6 months. However, patients still need to exercise the non-affected muscle groups to maintain overall health during the recovery process.  Finally, patients are told to follow a nutritious diet and avoid alcoholic beverage. If possible, radiation therapy, chemotherapy, NSAIDs and systemic corticosteroids should be avoided since all of these treatments are known to slow down the recovery process."
1,101,1,101106,06,pTitle0101106,"Scientists have long searched for materials that could be used to replace transplanted bone. Although most of the substitutes available produce successful outcomes, none have yet achieved the advantages of real bone. There are some bone graft alternatives. Demineralized Bone Matrix (DBM) contains collagen, proteins and growth factors that are extracted from the bone. DBM is extensively processed and therefore has little possibility for disease transmission. However, because it contains mostly collagen, and not the composite materials of calcium that make the bone rigid, it does not provide strength to the surgical site. Ceramics are also used as a substitute for bone grafts. Ceramics offer no possibility for disease transmission, although they may be associated with inflammation in some patients. They are available in many forms such as porous and mesh. Although ceramics may offer a frame for bone regeneration, they contain none of the natural proteins that influence or facilitate bone regeneration. Another bone graft substitute is graft composite. Graft composites use combinations of other bone grafting materials and bone growth factors to gain the benefits of a variety of substances. One composite combines both collagen and ceramic, which closely reproduces the composition of natural bone. The other composite combines DBM with bone marrow cells, which aid in the growth of new bone."
1,101,1,101107,07,pTitle0101107,"One function of bone graft is to support the healing of fresh fractures or fractures that have failed to heal. A fracture is a breach in the outer layer of the bone, called the cortex. Following the fracture, secondary healing begins, which consists of four steps. The first stage is hematoma formation, beginning immediately following the fracture. The blood vessels supplying the bone and periosteum are ruptured during the fracture, causing a hematoma to form around the fracture site. The hematoma clots, and forms the temporary frame for healing. The injury to bone results in the secretion of inflammatory molecules and that stimulate essential cellular biology at the site. Different cells act together to remove damaged tissue and secrete more chemicals to facilitate bone regeneration. The second stage is cartilaginous callus formation, where stem cells are recruited to the area and begin to differentiate. As a result, a cartilaginous network rich in collagen spans the fracture ends, and a layer of woven bone is laid down by the osteogenic cells. The third stage is bony callus formation, adding calcium that make the bone rigid. Woven bone continues to be laid down on the outside. The newly formed blood vessels continue to proliferate, allowing further migration of stem cells. At the end of this phase, a hard callus of immature bone forms."
1,101,1,101108,08,pTitle0101108,"Failed or delayed healing can affect up to 10% of all fractures and can be due to various factors like infection, tumor, and disrupted blood supply. One important function of bone graft is to support the healing of fractures that have failed to heal. There are many factors that can affect fracture healing, as well as methods to stimulate fracture healing. Factors that affect fracture healing can mainly categorize into local and systemic categories. Local factors include fracture traits, such as excessive movement, misalignment, and soft tissues caught within fracture ends can lead to delayed or non-union. Infection and reduced blood supply can also lead to poor healing and delayed or non-union. Systemic factors can also predispose to poor healing. Examples include advanced age, obesity, anemia, endocrine conditions, and smoking. Fractures have high mortality and morbidity; therefore, a multi-disciplinary team approach is essential for good outcomes. There are several methods that the team can utilize to stimulate fracture healing. Besides bone graft, bone stimulators and dietary supplements have also been found to be helpful. Bone stimulators can be electrical, electromagnetic, and ultrasound. It is still unclear whether these methods are truly helpful, and this area requires further research. Nutrients to increase in diet include calcium, protein, Vitamins C, and D."
1,101,1,101109,09,pTitle0101109,"Besides aiding the recovery process from bone surgery and certain procedures, bone graft is also commonly used in the dental setting. Bone grafts are used in dentistry for purposes such as teeth saving, extractions, and inplants. When teeth are lost, the bone that used to surround them begins to melt away or “resorb.” Tooth-supporting bone can also be lost from gum disease. If enough teeth and bone are lost, a patient’s facial features will sag, giving a more aged appearance. It can also complicate treatment to replace missing teeth. Fortunately, with modern bone grafting- techniques, the bone that has been lost can be built up again. This can benefit both the patient’s health and appearance by strengthening jawbone and increasing support to facial features. Bone grafting is a minor surgical procedure that is normally done in a dental office. An incision is made in the gum to gain access to the bone beneath it, and then grafting material is added. The procedure for placing a bone graft usually requires only local anesthesia, though oral or IV (intravenous) sedatives can also be used. Grafting material comes in a variety of forms: powder, granules, putty or a gel that can be injected through a syringe. The graft is generally covered by a collagen membrane for optimum bone repair. It will act as a scaffold onto which new bone deposits.
"
1,101,1,101110,10,pTitle0101110,"Much research has been done to improve the efficiency of bone grafting. One method of improving bone-graft healing involves the use of growth factor enhancement. Growth factors are proteins that have a role in controlling biological processes, such as cell growth and differentiation. They also can facilitate tissue repair and regeneration. After binding to specific
cell surface receptors, growth factors can then target cells in a number of ways. They orchestrate the complex sequence of cellular processes during wound healing. There are eight major classes of growth factors that are expressed in varying levels by the cells involved with healing. The effects of each growth factor are regulated through a complex system of feedback loops. Studies have confirmed their ability to enhance the capacity of tissues to regenerate. Platelet-derived growth factor (PDGF), which is synthesized by platelets and some other cells, has been extensively studied for clinical applications. Scientists have examined their use for bone regeneration, such as in rehabilitation with dental implants. It appears to have broad wound- healing activities in both hard and soft tissue. A naturally occurring protein, it is abundant in bone matrix and is released locally by blood platelets during clotting. Because healing is more rapid, the risk of risks such as infection, dry socket, failed implants, or failed grafting is lower."
