questionID,passID,topID,subtopID,conID,passOrder,passTitle,questionText,choiceA,choiceB,choiceC,choiceD,correctAns
1011011,101101,1,101,1,1,pTitle0101101,"A medical supplier is interested in understanding the market size of bone graft material.
What kind of population may be in the market?",an athlete with severe fractures,a retiree with significant bone loss,a patient suffering from cancer,all of the above,d
1011012,101101,1,101,1,1,pTitle0101101,"A tissue banks is responsible for screening the medical histories of the donors and freeze
the donated bones (T/F)",TRUE,FALSE,"","",a
1011013,101101,1,101,1,1,pTitle0101101,What could be a risk that is associated with surgical procedure of bone graft?,osteoporosis,renal failure,rejection of transplants,none of the above,c
1011014,101101,1,101,1,1,pTitle0101101,"Due to ethical concerns, all bone graft materials can only come from donors who have
died (T/F)",TRUE,FALSE,"","",b
1011015,101101,1,101,1,1,pTitle0101101,"A medical student is asked by his professor to explain how a bone graft works in a
patient. What should the student say?",it provides a framework for growth of fresh and living bone,it dissolves into essential compounds like calcium and phosphate,it stimulates immune cells to engulf cancerous bone cells,it increases blood flow to the implanted area,a
1011021,101102,1,101,1,2,pTitle0101102,"Several different cell types work together to maintain bone integrity, and many evolve
from osteogenic cells. Where are these osteogenic cells typically located?",bone junction,bone periosteum,cartilage,none of the above,b
1011022,101102,1,101,1,2,pTitle0101102,"A scientist studying a bone specimen found scarce osteogenic cell in a sample. What could
be a possible reason for this finding?",previous surgery or infection,bone gaps,prior radiation therapy,all of the above,d
1011023,101102,1,101,1,2,pTitle0101102,Pelvic iliac crests can provide graft material to other parts of the body (T/F),TRUE,FALSE,"","",a
1011031,101103,1,101,1,3,pTitle0101103,"Bone graft cannot be considered in a patient who needs a large segments of bone that are
more than 6 inches in length (T/F)",TRUE,FALSE,"","",b
1011032,101103,1,101,1,3,pTitle0101103,"A 65-year-old lady with bone loss fell in the bathroom, where she landed on her back.
After the doctor examines her, a spinal fusion is needed for her healing. What does spinal
fusion entail?",stimulate healing between spine joints,bridge vertebrae to provide stabilization,relieve pressure on nerve roots of effected area,all of the above,d
1011033,101103,1,101,1,3,pTitle0101103,"On top of stabilizing fractures, graft material can also regenerate the bone tissue around
implanted devices (T/F)",TRUE,FALSE,"","",a
1011041,101104,1,101,1,4,pTitle0101104,"Certain chronic disease can impede bone growth in patients compared to healthy
individuals, causing them to need bone graft to heal better. What are some examples of
these chronic diseases?",diabetes,asthma,melanoma,renal failure,a
1011042,101104,1,101,1,4,pTitle0101104,"Although nicotine has many adverse health effects in smokers, studies have not shown
that it impedes bone healing. (T/F)",TRUE,FALSE,"","",b
1011043,101104,1,101,1,4,pTitle0101104,"Because of higher autoimmune attack rate in smokers, surgeons typically avoid
performing bone grafts on them because the risks are greater than the benefit. (T/F)",TRUE,FALSE,"","",b
1011051,101105,1,101,1,5,pTitle0101105,"A man receives bone graft in his hip after suffering from a severe car accident. The
procedure went smoothly and he feels well. How long should he expect the bone graft to
heal completely?",1 day,1 week,1 month,1 year,d
1011052,101105,1,101,1,5,pTitle0101105,"A man receives bone graft in his hip after suffering from a severe car accident. The
procedure went smoothly and he feels well. What medications may be prescribed during
his recovery period?",anti-diuretics,antibiotics,systemic corticosteroids,muscle relaxant,b
1011053,101105,1,101,1,5,pTitle0101105,"A man is wearing a cast around the site of bone graft. It is more beneficial to apply heat
than cold to the injured site because blood circulation can speed up healing. (T/F)",TRUE,FALSE,"","",a
1011061,101106,1,101,1,6,pTitle0101106,"Many substitutes to bone graft are available on the market, such as Demineralized Bone
Matrix (DBM). What can be found in DBM?",ceramic microstructure,vinyl composite,calcium gluconate,collagen,d
1011062,101106,1,101,1,6,pTitle0101106,"Although bone graft alternatives offer low risks of disease infection, they can still be
associated with inflammation in some patients (T/F)",TRUE,FALSE,"","",a
1011063,101106,1,101,1,6,pTitle0101106,What is an example of graft composite?,collagen and ceramic,DBM and bone marrow cells,all of the above,none of the above,c
1011071,101107,1,101,1,7,pTitle0101107,"A professional climber lost consciousness falling from a cliff. His fibula is noticeably
deformed, suggesting fracture. Which layer of the bone is likely damaged in a fracture?",cortex,marrow,metaphysis,inner layer,a
1011072,101107,1,101,1,7,pTitle0101107,What first forms the temporary frame for healing when a fracture occurs?,mature bone,cartilage,hematoma clot,osteogenic cells,c
1011073,101107,1,101,1,7,pTitle0101107,"When bone is fractured, it takes several steps for the hard callus of immature bone to
form. During bony callus formation, what mineral is added to make the bone more rigid?",iron,phosphorus,calcium,potassium,c
1011081,101108,1,101,1,8,pTitle0101108,"There are many systemic factors that can affect fracture healing, such as obesity. Which
of the following is not a systemic factor?",advanced age,anemia from iron deficiency,endocrine conditions such as diabetes,misalignment at the fracture site,d
1011082,101108,1,101,1,8,pTitle0101108,"New advances in bone stimulators, such as electromagnetic stimulation, have been
shown to be more effective than bone graft (T/F)",TRUE,FALSE,"","",b
1011083,101108,1,101,1,8,pTitle0101108,Excessive movement is a local factor that can lead to delayed healing or non-union (T/F),TRUE,FALSE,"","",a
1011091,101109,1,101,1,9,pTitle0101109,What is not an applications of bone graft technology in dentistry?,teeth saving,gingivitis,extractions,implants,b
1011092,101109,1,101,1,9,pTitle0101109,"An elderly man visits the dentist for the first time in eight years. He has lost most of his
molars due to poor dental care. The dentist notices his face look saggy. What process best
explains his facial appearance?",Stretched skin due to collagen loss,jaw bone resorption,weight gain,mandibular osteoarthritis,b
1011093,101109,1,101,1,9,pTitle0101109,"In dental application, bone grafting material comes in a variety of forms, such as powder,
granules, putty or a gel. (T/F)",TRUE,FALSE,"","",a
1011101,101110,1,101,1,10,pTitle0101110,What are some physiological processes that growth factors involved in?,cell growth and differentiation,tissue repair and regeneration,biological feedback loops,all of the above,d
1011102,101110,1,101,1,10,pTitle0101110,"Platelet-derived growth factor is a protein solely expressed by platelets and not any other
cell types (T/F)",TRUE,FALSE,"","",b
1011103,101110,1,101,1,10,pTitle0101110,"Faster healing achieved through the addition of growth factors such as PDGF can reduce
what type of risks?",failed implants,clotting,atrophy,none of the above,a
1011111,101111,1,101,1,11,pTitle0101111,"New bone graft technology that is less likely to spark immune rejection use which type of
material?",organic collagen,patient stem cells,allogenic bone,none of the above,b
1011112,101111,1,101,1,11,pTitle0101111,"What is the main limitation that researchers have overcome with the special bioreactor to
synthesize bone graft?",size limitation,genetic compatibility,speed restriction,all of the above,a
1011113,101111,1,101,1,11,pTitle0101111,"One challenge of developing personalized bone graft for pediatric patients is that they can
quickly outgrow the graft (T/F)",TRUE,FALSE,"","",a
1012011,101201,1,101,2,1,pTitle0101201,"A medical supplier is interested in understanding the market size of bone graft material.
What kind of population may be in the market?",an athlete with severe fractures,a retiree with significant bone loss,a patient suffering from cancer,all of the above,d
1012012,101201,1,101,2,1,pTitle0101201,"A tissue banks is responsible for screening the medical histories of the donors and freeze
the donated bones (T/F)",TRUE,FALSE,"","",a
1012013,101201,1,101,2,1,pTitle0101201,What could be a risk that is associated with surgical procedure of bone graft?,osteoporosis,renal failure,rejection of transplants,none of the above,c
1012014,101201,1,101,2,1,pTitle0101201,"Due to ethical concerns, all bone graft materials can only come from donors who have
died (T/F)",TRUE,FALSE,"","",b
1012015,101201,1,101,2,1,pTitle0101201,"A medical student is asked by his professor to explain how a bone graft works in a
patient. What should the student say?",it provides a framework for growth of fresh and living bone,it dissolves into essential compounds like calcium and phosphate,it stimulates immune cells to engulf cancerous bone cells,it increases blood flow to the implanted area,a
1012021,101202,1,101,2,2,pTitle0101202,"In the United States, over 900,000 autografts are harvested each year (T/F)",TRUE,FALSE,"","",a
1012022,101202,1,101,2,2,pTitle0101202,"Bone tissue implant from a donor can benefit various types of patients, such as",athletes with knew fracture,cancer patients after surgery,patient with severe back pain,all of the above,d
1012023,101202,1,101,2,2,pTitle0101202,"Allograft tissue at bone backs are processed in carefully controlled environments to
prevent contamination or infection (T/F)",TRUE,FALSE,"","",a
1012031,101203,1,101,2,3,pTitle0101203,"Both allograft and autograft involve using bone from human donors, and they both carry
risk of chronic pain at the site of insertion (T/F)",TRUE,FALSE,"","",b
1012032,101203,1,101,2,3,pTitle0101203,"After a biking accident, a professional athlete receives an autograft harvested from his
hop bone. He is prescribed oxycodone during recovery. What is a potential side effects
that he should be aware of?",chronic fever,chronic pain,transient paralysis,none of the above,b
1012033,101203,1,101,2,3,pTitle0101203,Autograft bone harvesting reduces what risk compared to allografts?,immunologic rejection,failure to fuse,bone pain,all of the above,a
1012041,101204,1,101,2,4,pTitle0101204,"Autograft and allograft require the same number of procedures on the patient, but
allograft is less invasive (T/F)",TRUE,FALSE,"","",b
1012042,101204,1,101,2,4,pTitle0101204,"A young female is being evaluated by a surgeon after she sustained a motor vehicle
accident. The surgeon recommended harvesting autograft to reduce rejection risk. Why
does autograft reduce the risk of rejection?",autografts go through a more thorough processing method,autografts only contain the patient’s own cells,autografts are autoclaved to eliminate microbes,there is no substantial difference in rejection risk,b
1012043,101204,1,101,2,4,pTitle0101204,"Allograft can reduce the risk of infection, and it reduces the pain associated with bone
harvesting (T/F)",TRUE,FALSE,"","",a
1012051,101205,1,101,2,5,pTitle0101205,"An elderly female is being evaluated by a surgeon after she sustained a motor vehicle
accident. Multiple fracture sites are found. Why might she not be a good candidate for
autografts?",poor bone quality and density,limited amount of bone available for autograft,high financial expense,all of the above,d
1012052,101205,1,101,2,5,pTitle0101205,What type of graft material is likely to grow faster in the host bone?,autograft,allograft,xenograft,synthetic material,a
1012053,101205,1,101,2,5,pTitle0101205,"Although autograft may reduce the chance of disease transmission, it is less effective than
allograft because bone growth cells and proteins are removed during processing (T/F)",TRUE,FALSE,"","",b
1012061,101206,1,101,2,6,pTitle0101206,"There have been more cases of disease transmission from freeze-dried bone allograft
compared to fresh-frozen bone allografts (T/F)",TRUE,FALSE,"","",b
1012062,101206,1,101,2,6,pTitle0101206,"In order to reduce the chances of disease transmission, what guidelines are followed by
most bone banks?",Red Cross,WHO,American Association of Tissue Banks,Federation of Bone Safety,c
1012063,101206,1,101,2,6,pTitle0101206,"With proper adherence to safety guidelines, what are the chances of receiving a bone
graft from an HIV-infected donor?",1月30日,1/167,1/1670000,unknown,c
1012071,101207,1,101,2,7,pTitle0101207,"What are some common methods that are used in bone graft processing, which prevent
contamination?",chemical treatment,sonication,irradiation,all of the above,d
1012072,101207,1,101,2,7,pTitle0101207,"During the processes step of bone graft, what material properties can be potentially
altered?",surface area,genetic sequence,conductivity,none of the above,a
1012073,101207,1,101,2,7,pTitle0101207,"The process of decellularization is part of the guideline to remove material that might
elicit an immune response (T/F)
",TRUE,FALSE,"","",a
1012081,101208,1,101,2,8,pTitle0101208,"The transfer of autograft is regulated by American Association of Tissue Banks (AATB)
guidelines to provide the surgeon with safe bone tissue (T/F)",TRUE,FALSE,"","",a
1012082,101208,1,101,2,8,pTitle0101208,"What is a property of the graft that bone banks aim to achieve through rigorous
processing?",sterility,flexibility,regularity,all of the above,a
1012083,101208,1,101,2,8,pTitle0101208,"What is something that bone banks agree to in order to be accredited as members of the
AATB?",cost effectiveness,on-site inspection,high processing speed,low interest rate,b
1012091,101209,1,101,2,9,pTitle0101209,"A bone bank receives a potential donor’s death after a motor vehicle collision. In order to
determine donor eligibility, what available information should be obtained?",age,life style,medical condition,all of the above,d
1012092,101209,1,101,2,9,pTitle0101209,"A recovery team is sent out to procure bone tissue from a deceased donor. Due to inclement
weather conditions, the team arrived 15 hours after the donor’s death. Can the sample still
be procured?","No, because the donor likely has an infectious disease","No, because of the time-sensitive nature of procurement","Yes, because the sample is preserved in cold weather",Cannot be determined,b
1012093,101209,1,101,2,9,pTitle0101209,"A bone bank typically determines donor eligibility after sending out the procurement team
(T/F)",TRUE,FALSE,"","",b
1012101,101210,1,101,2,10,pTitle0101210,"Most bone donors are old people who died from natural causes or patients with incurable
diseases (T/F)",TRUE,FALSE,"","",b
1012102,101210,1,101,2,10,pTitle0101210,"With HIV transmission being a serious concern, how do bone banks determine if an
allograft may cause disease transfer?",IV drug use,lymph node biopsy,chemical tests,all of the above,d
1012103,101210,1,101,2,10,pTitle0101210,"Screening for bacterial and viral infections is based on getting a thorough history from
patient’s medical record, as well as from friends and family (T/F)",TRUE,FALSE,"","",b
1012111,101211,1,101,2,11,pTitle0101211,"Irradiation is a fail-proof method to remove all HIV contamination in bone-graft tissue.
(T/F)",TRUE,FALSE,"","",b
1012112,101211,1,101,2,11,pTitle0101211,What is a top concern that require bone banks to sterilize bone tissues?,ensure that graft tissue is completely devoid of liquid,maintain homeostatic temperature to maintain cell viability,remove HIV particles from tissue,none of the above,c
1012113,101211,1,101,2,11,pTitle0101211,What is the most commonly used method to ensure allograft sterility?,alcohol wash,autoclaving,irradiation,iodine,c
1013011,101301,1,101,3,1,pTitle0101301,"A medical supplier is interested in understanding the market size of bone graft material.
What kind of population may be in the market?",an athlete with severe fractures,a retiree with significant bone loss,a patient suffering from cancer,all of the above,d
1013012,101301,1,101,3,1,pTitle0101301,"A tissue banks is responsible for screening the medical histories of the donors and freeze
the donated bones (T/F)",TRUE,FALSE,"","",a
1013013,101301,1,101,3,1,pTitle0101301,What could be a risk that is associated with surgical procedure of bone graft?,osteoporosis,renal failure,rejection of transplants,none of the above,c
1013014,101301,1,101,3,1,pTitle0101301,"Due to ethical concerns, all bone graft materials can only come from donors who have
died (T/F)",TRUE,FALSE,"","",b
